delta_rank,feature,feature_clean,pd_rank,healthy_rank,rwbc_pd,rwbc_healthy,delta_rwbc,abs_delta_rwbc,delta_direction,degree_pd,degree_healthy
60,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,751,806,0.7560536875605369,0.5231742538852978,0.2328794336752391,0.2328794336752391,higher_in_PD,690,559
61,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae,739,613,0.7783312577833126,1.0028881859441618,-0.22455692816084927,0.22455692816084927,higher_in_healthy,692,772
62,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella_dolichum,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella|s__Absiella_dolichum,686,776,0.8901342189013421,0.6660706917893,0.22406352711204214,0.22406352711204214,higher_in_PD,744,638
63,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister,819,800,0.3282136432821364,0.5482051987346995,-0.2199915554525631,0.2199915554525631,higher_in_healthy,346,551
64,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,749,802,0.7588210875882109,0.5421537615183606,0.21666732606985029,0.21666732606985029,higher_in_PD,690,559
65,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,825,861,0.2252663622526636,0.0122404070966854,0.21302595515597822,0.21302595515597822,higher_in_PD,242,13
66,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio,720,790,0.8149993081499931,0.6019804703617109,0.21301883778828223,0.21301883778828223,higher_in_PD,713,588
67,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,826,865,0.2205617822056178,0.0093522211525237,0.2112095610530941,0.2112095610530941,higher_in_PD,244,13
68,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,753,804,0.7401411374014114,0.5337642690138908,0.20637686838752056,0.20637686838752056,higher_in_PD,686,548
69,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absiella,695,775,0.8742216687422167,0.6703342043735387,0.203887464368678,0.203887464368678,higher_in_PD,744,638
